tconst,Revenue,Budget,Production_Company
tt0101444,"$271,327",,New Line Cinema
tt0101694,"$28,738,096",,Walt Disney Studios Motion Pictures
tt0101746,"$38,120,905",,Walt Disney Studios Motion Pictures
tt0101773,"$15,084",,MEI Releasin
tt0101590,"$28,277,918",,Twentieth Century Fox
tt0101588,"$1,345,015","$3,000,000",The Samuel Goldwyn Company
tt0101587,"$179,033,791","$27,000,000",Columbia Pictures
tt0101775,"$13,878,411",,New Line Cinema
tt0101725,"$31,815",,Vision Internationa
tt0101669,"$38,016,380",,Paramount Pictures
tt0130236,"$384,756",,Fathom Events
tt0101745,"$54,830,779",,Warner Bros.
tt0101786,"$4,603,929","$17,000,000",Twentieth Century Fox
tt0101658,"$450,501",,Sony Pictures Classics
tt0101629,"$30,964",,Metro-Goldwyn-Mayer (MGM)
tt0101635,"$33,691,313",,Warner Bros.
tt0101764,"$30,102,717",,Columbia Pictures
